,Scientific papers
0,0.06085344353221299
1,0.009251261315716307
2,0.0559449401258058
3,0.3577627442720688
4,0.08972775191318097
5,0.4840633299509021
6,0.07934887015398986
7,0.1203986409206234
8,0.10631499702935233
9,0.09628833538580038
10,0.03190365941217947
11,0.04839220548495743
12,0.15905641134148774
13,0.016720134024269646
14,0.20500629932129896
15,0.2004822706198752
16,0.16851539221258102
17,0.0
18,0.26466825832313556
19,0.07922952817341615
20,0.08126608294461178
21,0.2362571258451509
22,0.09833456653379927
23,0.3489585315646637
24,0.3519420810790063
25,0.297984668748593
26,1.0
